ID,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
0.nii.gz,282.9,455.1,81382153.0,3.3494791035907605,104.75,2.4059273862193744,596.0,365.4457627118644,56.34451594369433,357.5,227.0,369.0,43.72059932490664,371.3971628087281,0.3973941445636073,1235991099.433189,0.10952599827635737,4385.247058316576,44.205438760315126,564.8445827967823,5.72140071832554,15.065756578110978,10.159716283909976,0.17840548427911593,2.4527278370623353,2.8022590446503193,3.9936290128492353,0.4183653452220716,0.3393793018978817,0.9601803240061483,0.8702881658540088,-0.09011995482079568,0.6608345424736963,0.33774845981329793,6.554825207433947,0.015249161691851766,6.301770039650715,0.38990187928464787,0.03164157644587405,13.109650414867897,3.883202987552132,6.306368215505239,5.85452976664319,103.63389830508474,0.175650675093364,4.389301924734273,64.62033898305084,7.170149382361392,45.21186440677966,14.2,715.1237288135593,0.5486117697412071,0.055767127695348834,0.35321896765611455,15.154257060812396,0.024650147335481563,59.24009437740725,0.10940977649494317,7.280201180769552,44.79000506689716,1.3146897910113664,60.76829952288111,0.06974220753472542,0.05717068636706985,3.74940105965486,467.0157082216568,0.8583697204579915,0.9179921773142111,0.11711581260861942,0.9400883926134467,41.87482347537535,0.05470789332923869,26.29957805907173,0.1109686837935516,8.598443981555661,42.40506329113924,33.687763713080166,1840.8818565400843,1.1122451181513278,0.07106154406450103,111.37130801687763,0.46992113087290144,0.7115061565500546,30.72992043178901,0.051767338985533866,4.8349556377439935,0.4016949152542373,27.490395057772076,1.4461933148775632,0.008495784861936117,189.76790725820865,0.13033692312284176,0.777734014496205,0.31902461062938836,0.2662508921182955,31.99810229942539,120.18026322784527,43.80924089747223,82.11729353189368,97.5,99.18448706451426,8138.599262773991,38.340461681600736,0.419441425328019,4664.93840533644,0.5731868906083016,8960.62246799469
1.nii.gz,179.0,274.0,403793728.0,2.6623256549208913,49.0,4.178605769155075,395.0,221.6961104140527,30.17080727760469,217.0,18.0,377.0,20.724460494851257,225.0871093052816,0.2201826170765924,5661985028.141966,0.19228565716165863,1515.0414026879341,91.28944189688364,176.4371358831543,3.5942806091968205,6.894950194534753,3.572549348410222,0.31860652209226054,1.3366736371744246,2.1402499611341423,1.7044868395648047,0.5648863086122926,0.5182091299091746,0.9869500512357706,0.9278554842461332,-0.07167938085546798,0.4827158882302094,0.4411386876878894,9.5108598137897,0.04244332773963634,5.200584218084911,0.4038478104500563,0.10231726206101385,19.021719627579394,3.404683748762019,2.616874885736244,6.288050822050784,676.2506900878294,0.08484952196836001,13.553811170811496,1532.5166875784191,2.5091322068799404,90.65696361355081,55.33048933500628,4767.39121706399,0.6836014952788289,0.012766836100566094,0.09332973350095856,8.917009715666461,0.001490401781889539,1147.6150868259117,0.18212961198173896,2.7466109965840646,91.53442784386269,2.162332230129207,191.66958620557563,0.027444179535384746,0.012877440319856411,3.6351563629105477,4321.408349265412,0.6750986518570128,0.7898658430653414,0.4869038238164008,0.844454072061563,77.69571437222056,0.010973470911064064,69.06178861788618,0.11229559124859541,7.380120298763964,98.38861788617886,13657.255284552846,1154591.5902439025,166.34604156840922,0.017726329870346932,203.8130081300813,0.33140326525216474,0.5975377818644042,58.035140862285644,0.01143939290351969,5.624656023770032,0.07716436637390213,13489.3105426664,5.467180219732073,0.0008781782107203839,109.8985495310611,0.01970154587292178,0.1046083329368523,0.737206780782039,0.568788352568033,48.179078610441955,84.70475598334134,99.26539869986733,113.5301559651735,98.27463213013061,113.53965624414722,110162.4677575763,62.44492047540724,0.3562361530811119,31196.2148632494,0.28318369675504945,111755.1302686194
10.nii.gz,278.6,341.4,13227114.0,2.1104751219296025,31.0,15.688080180503949,537.0,308.42335766423355,23.127817145292763,303.0,247.0,290.0,12.152344078781246,310.72218680400465,2.9216018647871596,200886808.06615376,0.29724545793595825,1423.3098193830253,14.739471666491594,206.767725703267,15.783457427161334,3.1708394078832507,1.6720864578117123,0.17672856437734777,0.9167277055522204,1.4967869558706397,0.8185621105216969,0.6240519533165988,0.6037904385583353,0.9907953801550923,0.9376573660519296,-0.144186425903468,0.6292616971987305,0.5741788695806849,3.7871347323828823,0.12875027770006503,3.3800654012254614,0.5169930642237507,0.21384839132553074,7.574269464765764,2.330852083496547,1.2107314664237412,4.717324801600428,16.970802919708028,0.12387447386648197,6.948159198678673,40.722627737226276,2.2490276519793277,17.613138686131386,25.306569343065693,361.3649635036496,1.9990566630567566,0.09118561682804617,0.2666113853624716,7.758931038081629,0.02683186290718658,33.81115217841408,0.28051985293755133,2.5490685254410743,18.218176227265374,1.6885992347369634,28.025743370386575,0.14702611891887257,0.09283209306504168,2.6920671889693923,98.80742913703726,0.8084282643822398,0.8736664795058956,0.2969719710009349,0.9124292153542826,17.018414243942228,0.08544257248775448,6.368421052631579,0.16759002770083103,5.983379501385041,28.42105263157895,85.39473684210526,1237.6052631578948,6.48857270628357,0.10171598113737115,21.105263157894736,0.5554016620498615,0.7626039485333337,25.510299115016377,0.07704719179819802,3.720089186839108,0.2773722627737226,72.39681440443212,0.5725838522120167,0.042065095902314074,41.30608780394814,0.053361683461168034,3.145277237090645,0.4645947468831236,0.1985197786431978,10.074482568319496,50.74800424005356,30.186919402231652,54.87314969942692,52.69250421075089,58.94064898689893,1827.5626291036606,23.577256184731365,0.5140377350258356,1406.27622895729,0.7694818259919262,2080.687646985054
100.nii.gz,260.0,494.0,84953111.0,3.58808614010675,158.0,2.1279757764502194,641.0,361.29363784665577,78.12671082500154,340.0,209.0,432.0,63.106196692847945,372.2711719279555,0.5076282119375144,1290225282.1676998,0.09712083753582652,8052.732700142905,63.298500505114696,2147.6944531524937,20.217867391117807,31.00698761001357,20.03646740372894,0.20945828271504444,3.4982645810661728,3.1860200068946036,7.090533976898935,0.3510862736259041,0.2646463340061167,0.9468924460225477,0.8505423970437593,-0.11814746737455817,0.753584495757118,0.26503655053383257,7.778788454328296,0.010532365046768837,6.887419502688134,0.438715616310881,0.028439142051526083,15.557576908656594,4.345309198712548,12.760863753435626,5.742113688758009,134.66394779771616,0.219680175852718,2.0704688252623287,59.53507340946167,12.94161572668315,61.44045676998369,8.977161500815662,534.1745513866232,0.4544848054970329,0.0494777587115763,0.3516247530823096,23.277179198895436,0.017417136568395778,55.14394704945838,0.09589161345056631,12.92822140705268,61.59885767462561,1.2380191405639258,75.42168784041341,0.06169012226868468,0.049393370077461016,3.9050519935026644,514.2034172436987,0.8895568850404287,0.9373823566319488,0.086676022564877,0.9533018559382529,58.785161552931214,0.04708592130143671,21.748091603053435,0.0830079832177612,12.986131344327253,65.46564885496183,13.99618320610687,808.4236641221374,0.7312646323571821,0.048097938978927786,98.25954198473282,0.3750364197890566,0.630300353680088,43.37869027180481,0.031223894364741746,5.431135101146948,0.4274061990212072,8.522012120505797,1.5657009596498999,0.00784667971013299,288.54566296196873,0.2132061864785831,1.0755645497676,0.38366935423872073,0.22531612613293714,16.039643718294496,71.18728691807466,39.25875567313841,75.30313734209683,73.63762625180146,75.43747406669114,8576.507206633687,27.31238040186424,0.4292855524859223,4720.0306969941985,0.5503441649700227,9309.93684232235
101.nii.gz,301.5,430.1,3932446.0,2.880424344959475,88.25,2.3278689596857487,482.0,358.0,46.2,346.0,288.0,194.0,35.083333333333336,362.051837909067,0.6690728688880073,59724032.06311369,0.16222222222222224,2917.5333333333333,19.81219806763285,341.6073746639462,6.776379794769751,11.958937198067632,8.390096618357486,0.17673803076079064,2.322463768115942,2.422615446248547,2.60239445494644,0.4194473199907982,0.3385113571174952,0.9160134706753841,0.8129921407095319,-0.3784221403682213,0.9425263835889658,0.3381416062801932,4.34963768115942,0.04025254381665849,4.804996701323832,0.730622489341696,0.0806159420289855,8.69927536231884,3.33610252848788,5.08725845410628,3.8314018453921665,10.0,0.3333333333333333,0.7822222222222223,4.866666666666666,5.0488888888888885,20.0,4.266666666666667,70.26666666666667,0.8979158688166624,0.20590197992777357,0.5363425925925926,11.400925925925925,0.09954588424876125,4.13774759445674,0.15505968035015996,5.069869422196294,20.374976698158857,1.4530244798235803,28.014239903857593,0.3005120275242764,0.20418778347897104,3.19793664665809,22.307268984555343,0.824473221760652,0.8916666666666666,0.16452325127126058,0.9211865352597071,18.989404947548273,0.18603354300799185,2.5555555555555554,0.1419753086419753,5.16358024691358,21.61111111111111,4.555555555555555,74.22222222222223,0.9282394109907338,0.20032660234875843,9.777777777777779,0.5432098765432098,0.7611882716049383,16.36728395061728,0.13757207988648135,3.3774437510817306,0.6,1.7777777777777775,0.47505774697938874,0.1178175697788583,58.55618662157948,0.24790868116794046,4.412616455269951,0.5114322923548443,0.0,0.0,13.042486293398511,10.090218673279791,10.090218673279791,12.90348790056394,13.520817759092983,378.42192846536636,6.670348663039436,0.8111147639103513,311.9267936377473,0.824283082385632,455.62506437301636
102.nii.gz,158.0,273.0,338384083.0,2.897910732373904,64.0,3.121370616980878,400.0,215.98029060566824,36.30186184604271,216.0,24.0,376.0,26.24379449301067,220.63851149561194,0.19683357500080156,4744815839.909833,0.15436416714895632,2033.866824890372,88.42238945758314,235.41618299852684,2.5624930061421805,8.584418533991121,4.384939127540995,0.323032277787223,1.5668660180044043,2.2838234122818286,1.853580306952424,0.5166397228457084,0.45806266127953954,0.9856401196901524,0.9203789123059583,-0.05367612432365191,0.44525841535610083,0.4237806642663554,9.347271921603923,0.028774891273354416,5.605819155020972,0.35239752869862045,0.061692090785470104,18.694543843207853,3.5811465515248244,3.2423394153830283,6.286916575808101,689.5915695583369,0.09920753410420614,9.498003172877054,1072.9853258523954,3.35225179541001,87.27060854553302,39.51503380808517,3492.1594015249602,0.49819223407870555,0.013821195518552218,0.12011632359317327,10.49307490487548,0.002054740842054694,860.9624256725383,0.14957607151773014,3.553535653786405,87.17104462168071,1.808463597124765,157.8087787027365,0.024455739202539403,0.014021243855459707,3.711573696035722,4189.548203692799,0.7211402896334618,0.8277392295519184,0.3152430438268243,0.8715565533495487,75.85320825552611,0.012364828055581879,87.95915678524374,0.11588821710835803,7.285791407805499,88.4756258234519,4504.162055335968,418220.7140974967,50.68529782764373,0.018193955040012397,235.1133069828722,0.30976720287598447,0.5733021435025605,50.53296621625564,0.011328815952692722,5.656689631176796,0.10919292188174363,4420.291209048728,4.892459403432328,0.0009969642694041972,146.42613811668755,0.027759127808703942,0.11891220877942031,0.5794854706105547,0.41655306475604986,38.305526726057295,91.95833608496086,78.88010792585717,108.71194135810984,97.03759037255871,110.4405563613803,96405.22247614134,53.28851966275709,0.3878947794989237,26212.225609424586,0.27189632403899766,97466.80343476217
103.nii.gz,269.0,492.0,124114929.0,3.4241943358150753,97.0,3.975326265996082,677.0,348.405601659751,67.05862287150704,319.0,218.0,459.0,44.25761672976383,358.8173997293717,1.286827985341939,1884994418.9005194,0.1226304643515091,7363.463080654602,54.311486088752275,3826.591470572047,151.31072299560216,38.38985000830127,21.017589231961775,0.3077243528093154,3.262642962277938,3.151880090042278,9.519773238737072,0.395948984645153,0.32160659684482973,0.9559637973005501,0.8742580489011426,-0.15112692898457025,0.8087669581718113,0.31600504479423913,7.063034412400112,0.01724652072096263,6.6148828768456465,0.5413896061732976,0.05199014375450387,14.126068824800221,4.3309785425409,14.851859810065767,5.812432513989868,192.9875518672199,0.20019455587885884,3.399024638005544,118.21576763485477,11.893330004648682,53.57883817427386,11.489626556016598,424.02697095435684,0.6377842755808241,0.04648452889381179,0.36581547775864615,22.29222861169787,0.015644482514953168,107.21880116004658,0.11957131174858154,12.026736250110424,54.59415496979686,1.2894252119662488,65.93602205615646,0.06202414698728857,0.04590711091608749,3.794570638957415,793.1391528862719,0.878868359360073,0.9290616022981167,0.11203730264880715,0.9481400779362233,52.376208556408606,0.04322678337660725,41.63657957244656,0.09889923888942175,12.561506649138744,62.42992874109264,30.052256532066508,733.0118764845606,1.99803211454288,0.04137425266397323,175.19477434679334,0.41613960652444976,0.6681393885905217,41.32416764075483,0.02839902669453735,5.267340505934493,0.4367219917012448,24.809135583753193,1.8312196040676514,0.004784638988762177,386.30251714029487,0.12710169594078538,1.2566450981713833,0.5608086488103713,0.37529911899295043,34.33540345796174,91.48810034538529,65.88481106165304,86.55922708762138,82.71789407377342,92.57564029498053,12934.047377943993,51.307317936923184,0.3030883601456834,8791.665679392356,0.6797304372322384,14640.74172592163
104.nii.gz,547.0,914.8,868535631.0,4.448062828458779,185.5,2.652553519906882,1076.0,713.8435788192331,111.57745599194502,702.0,390.0,686.0,78.92928511377389,727.0680124340557,0.3691232988363691,3282446904.1750445,0.05197319897505009,19055.239683357602,253.2544047042722,22550.845808241815,283.11448138711785,90.38916238843936,24.94496569582795,0.5664485685626743,3.653109263507453,3.226761451107299,9.797590220437044,0.3562960599950917,0.27290480764456393,0.973411939308173,0.8967566546198464,-0.17878997100910457,0.8439840318854157,0.28039189471354287,15.385262323826085,0.005251896293069057,8.009586041840551,0.6313630824231267,0.01568238460364047,30.770524647652167,5.198706689637854,28.83353202106682,6.743022686073195,340.3451004260499,0.20714856994890438,2.9836214723819565,85.39196591600731,30.576113866200103,228.8149726110773,11.57212416311625,3298.989044430919,0.07930230139060954,0.011359356056133387,0.29563371016288975,56.01850478764308,0.00422852539784814,79.1712684323673,0.05205340147391706,30.522230022686337,225.1123097599798,1.3370832357752285,315.2696877579865,0.014178823048311544,0.011661795315220705,4.787752000843385,1349.326416193534,0.8801741018549488,0.9257455873402314,0.14771201271566956,0.9486868407005447,211.05086594437165,0.011241623759093874,32.95897435897436,0.05634012710935788,29.427376725838265,187.54188034188033,34.87008547008547,9894.158974358974,0.18959038733332872,0.015234526082199058,183.68376068376068,0.313989334502155,0.5734021158568058,100.53662937610422,0.008773489472307256,6.3174122546532905,0.35605599513085817,26.982149170867118,0.5559559428427527,0.005492536307506413,728.0200337198619,0.1686896171549521,1.5984343802926777,0.5417426348883598,0.33518488616825326,16.586443073775087,49.484459945038104,43.654581881642805,46.79528952433404,44.69881923343298,55.747058981656124,5995.0541860598605,26.807841716652444,0.4948472925193785,3225.088732206793,0.537958228919099,6209.371349970095
105.nii.gz,309.0,516.0,485198964.0,3.6211628995294904,113.0,2.787278446454126,666.0,400.34866163349346,64.20506404365076,387.0,165.0,501.0,46.573697778056086,408.05166918177355,0.5445335267115794,7368955101.253887,0.0939732406779757,6227.1138503021175,123.79271408239917,2214.8872758713132,64.98836790676792,28.864777133423722,12.112584754036332,0.408685063143705,2.6380742614931068,2.9056204113915407,4.800070302666894,0.4079467808597506,0.32725229245214005,0.9748835793367662,0.8959195419337693,-0.07994861260762096,0.6121796445459924,0.3209224360441143,10.935931709119407,0.010465111915744785,7.0423609416079485,0.447277858208494,0.027609155272407405,21.871863418238814,4.390878133439734,10.244340471865012,6.353517285982928,479.0075497597804,0.16438145153046685,3.8755936008637453,273.83802333562113,10.062678150918885,121.07789979409746,15.511324639670557,1817.7573781743308,0.1792388822991791,0.012468454055274981,0.24861252160150263,30.41173106930736,0.0036482111089087485,246.33650347742548,0.09316025628954733,10.194570110041429,121.37624754211194,1.3677804767501578,164.2372522645763,0.016908543534065783,0.012556622802480754,4.092003485488772,2231.886547481124,0.8389415339205217,0.9072646639564965,0.13687747744022263,0.9309157551056197,113.07918905769192,0.011764742364158264,71.45768772348033,0.08517006880033413,12.545527125913278,123.83671036948749,68.87961859356376,7310.048867699643,0.8011772179162622,0.014525267331981475,264.08939213349225,0.3147668559398001,0.5790597850018773,70.68322916397048,0.00932168961366004,6.017273800821795,0.287920384351407,56.81662288807976,1.9339022437077897,0.0023230541742394785,332.2087585558253,0.08565402467358228,0.37852018972523827,0.7595433074732933,0.28877248135628536,26.396421288427423,91.40906074031241,87.61847239082917,89.99998168945643,88.1943875765346,94.83273013101802,43221.06932401657,69.42914032772406,0.33586051970768604,17733.270569450015,0.41029226825714377,44256.34998893738
106.nii.gz,166.9,222.1,6320827.0,1.6071560277425434,21.0,3.1208088056900274,245.0,191.80588235294118,15.33370242214533,188.0,150.0,95.0,9.983455882352942,192.82462315305494,0.42110885360394756,37826105.43679189,0.3956401384083045,391.83878892733566,4.105591689665679,4.026892889175196,0.29082628129364657,1.0315620598192958,0.7650637406196714,0.06678072486584043,0.6030798948764846,1.2634467667396696,0.39169057247803596,0.7244599388845955,0.7146584371360765,0.9581082513602188,0.8846694915436444,-0.10465829871492477,0.47547531374634777,0.4707641199164476,1.9886919258019775,0.21304996261204606,2.664751612218949,0.36594003451731233,0.35337434096722525,3.9773838516039555,1.882045744480378,0.44915645010974187,4.5677539794248005,19.294117647058822,0.11349480968858132,7.244152249134949,67.25882352941177,0.5820415224913495,5.5,38.34117647058824,174.40588235294118,11.50044934640523,0.3118872549019608,0.08280718548587691,0.48988709324699187,0.03121520206811002,52.428850778681515,0.3713466748617532,0.6236565894913166,5.634833539736937,2.084524667867473,11.126990310471285,0.626138552069735,0.3155786779721184,2.3631220092477365,105.9333047205737,0.7179002714754344,0.8239819004524886,0.37628527660526356,0.8530398844946578,4.906531355512807,0.2698649975275735,4.142857142857143,0.29591836734693877,1.204081632653061,6.428571428571429,701.2857142857143,2984.214285714286,183.42311507936506,0.44146825396825395,2.4285714285714284,0.17346938775510204,0.344972131002518,1.5676284776591165,0.19302006078712725,3.664497779200457,0.08235294117647059,553.8367346938776,3.158691676324717,0.04663756599352717,2.272136124043035,0.04070085439234201,0.21442464358113048,0.3493235185812037,0.17043470953205755,5.532663235893034,32.46206861902376,29.265189294917192,19.874119435716896,14.167083798491877,32.22955397092152,920.5940751676671,11.339764030421854,0.47473866591920755,963.9954183151614,1.047144929907994,1017.3412314962301
