fpath,label-0,label-1
F:\OnekeyDS\CT\crop_sur\83.nii.png,0.75244975,0.24755025
F:\OnekeyDS\CT\crop_sur\4.nii.png,0.84151846,0.15848157
F:\OnekeyDS\CT\crop_sur\156.nii.png,0.120147996,0.87985194
F:\OnekeyDS\CT\crop_sur\212.nii.png,0.9416058,0.058394235
F:\OnekeyDS\CT\crop_sur\210.nii.png,0.7721224,0.22787754
F:\OnekeyDS\CT\crop_sur\65.nii.png,0.93834007,0.061660003
F:\OnekeyDS\CT\crop_sur\198.nii.png,0.8503628,0.14963719
F:\OnekeyDS\CT\crop_sur\29.nii.png,0.68767107,0.3123289
F:\OnekeyDS\CT\crop_sur\52.nii.png,0.583322,0.41667795
F:\OnekeyDS\CT\crop_sur\36.nii.png,0.7162122,0.28378782
F:\OnekeyDS\CT\crop_sur\46.nii.png,0.8596947,0.14030527
F:\OnekeyDS\CT\crop_sur\217.nii.png,0.38335305,0.61664695
F:\OnekeyDS\CT\crop_sur\60.nii.png,0.46327564,0.5367244
F:\OnekeyDS\CT\crop_sur\120.nii.png,0.2764548,0.7235452
F:\OnekeyDS\CT\crop_sur\174.nii.png,0.8912137,0.108786285
F:\OnekeyDS\CT\crop_sur\201.nii.png,0.64752924,0.35247073
F:\OnekeyDS\CT\crop_sur\175.nii.png,0.91417325,0.085826755
F:\OnekeyDS\CT\crop_sur\225.nii.png,0.48329833,0.51670164
F:\OnekeyDS\CT\crop_sur\49.nii.png,0.8599308,0.14006914
F:\OnekeyDS\CT\crop_sur\167.nii.png,0.8879294,0.11207065
F:\OnekeyDS\CT\crop_sur\19.nii.png,0.06817025,0.93182975
F:\OnekeyDS\CT\crop_sur\200.nii.png,0.9552341,0.044765923
F:\OnekeyDS\CT\crop_sur\107.nii.png,0.9594228,0.04057717
F:\OnekeyDS\CT\crop_sur\135.nii.png,0.33670226,0.6632978
F:\OnekeyDS\CT\crop_sur\163.nii.png,0.22245714,0.7775428
F:\OnekeyDS\CT\crop_sur\159.nii.png,0.74251986,0.25748014
F:\OnekeyDS\CT\crop_sur\190.nii.png,0.84021145,0.1597886
F:\OnekeyDS\CT\crop_sur\205.nii.png,0.46492752,0.5350725
F:\OnekeyDS\CT\crop_sur\147.nii.png,0.5642119,0.4357881
F:\OnekeyDS\CT\crop_sur\195.nii.png,0.75677955,0.24322046
F:\OnekeyDS\CT\crop_sur\202.nii.png,0.8314988,0.16850123
F:\OnekeyDS\CT\crop_sur\137.nii.png,0.9526247,0.04737532
F:\OnekeyDS\CT\crop_sur\114.nii.png,0.6947722,0.3052278
F:\OnekeyDS\CT\crop_sur\48.nii.png,0.857113,0.14288697
F:\OnekeyDS\CT\crop_sur\21.nii.png,0.097164445,0.90283555
F:\OnekeyDS\CT\crop_sur\32.nii.png,0.8672141,0.13278587
F:\OnekeyDS\CT\crop_sur\24.nii.png,0.4295175,0.57048255
F:\OnekeyDS\CT\crop_sur\54.nii.png,0.6780811,0.32191887
F:\OnekeyDS\CT\crop_sur\56.nii.png,0.850332,0.14966792
F:\OnekeyDS\CT\crop_sur\196.nii.png,0.6679489,0.33205107
